left_bound_x,left_bound_y,left_bound_z,right_bound_x,right_bound_y,right_bound_z
-2.77795413374491,94.7813789058452,29.0850578034881,-11.1080748669466,92.9272320431403,29.2870761042689
-2.77795413374491,94.7813789058452,29.0850578034881,-11.1080748669466,92.9272320431403,29.2870761042689
-2.77795413374491,94.7813789058452,29.0850578034881,-11.1080748669466,92.9272320431403,29.2870761042689
-2.77795413374491,94.7813789058452,29.0850578034881,-11.1080748669466,92.9272320431403,29.2870761042689
-2.77795413374491,94.7813789058452,29.0850578034881,-11.1080748688862,92.9272320579884,29.2880761041864
-2.77795413374491,94.7813789058452,29.0850578034881,-11.1080748688862,92.9272320579884,29.2880761041864
-2.77795413374491,94.7813789058452,29.0850578034881,-11.1080748688862,92.9272320579884,29.2880761041864
-2.77795413374491,94.7813789058452,29.0850578034881,-11.1080748688862,92.9272320579884,29.2880761041864
-2.77795413374491,94.7813789058452,29.0850578034881,-11.1080748688862,92.9272320579884,29.2880761041864
-2.77795413374491,94.7813789058452,29.0850578034881,-11.1080748688862,92.9272320579884,29.2880761041864
-2.77795413374491,94.7813789058452,29.0850578034881,-11.1080748688862,92.9272320579884,29.2880761041864
-2.77795413374491,94.7813789058452,29.0850578034881,-11.1080748688862,92.9272320579884,29.2880761041864
-2.76935752082929,94.7813789026855,29.0850578073159,-11.1080748688862,92.9272320579884,29.2880761041864
-2.76935752082929,94.7813789026855,29.0850578073159,-11.1080748688862,92.9272320579884,29.2880761041864
-2.76935752082929,94.7813789026855,29.0850578073159,-11.1080748688862,92.9272320579884,29.2880761041864
-2.76935752133943,94.7813789181178,29.0860578072571,-11.1080748688862,92.9272320579884,29.2880761041864
-2.76935752133943,94.7813789181178,29.0860578072571,-11.1080748688862,92.9272320579884,29.2880761041864
-2.76935752133943,94.7813789181178,29.0860578072571,-11.1080748688862,92.9272320579884,29.2880761041864
-2.76935752133943,94.7813789181178,29.0860578072571,-11.1080748688862,92.9272320579884,29.2880761041864
-2.76935752133943,94.7813789181178,29.0860578072571,-11.1080748688862,92.9272320579884,29.2880761041864
-2.76935752133943,94.7813789181178,29.0860578072571,-11.1080748704323,92.927232072636,29.2890761036154
-2.76935751727439,94.7924816562066,29.0860576411273,-11.108074854802,92.9383348112244,29.2890759412692
-2.76935751727439,94.7924816562066,29.0860576411273,-11.1080748704323,92.927232072636,29.2890761036154
-2.76935751727439,94.7924816562066,29.0860576411273,-11.1080748704323,92.927232072636,29.2890761036154
-2.76935751727439,94.7924816562066,29.0860576411273,-11.108074854802,92.9383348112244,29.2890759412692
-2.76935751727439,94.7924816562066,29.0860576411273,-11.108074854802,92.9383348112244,29.2890759412692
-2.76935751727439,94.7924816562066,29.0860576411273,-11.108074854802,92.9383348112244,29.2890759412692
-2.76935751727439,94.7924816562066,29.0860576411273,-11.108074854802,92.9383348112244,29.2890759412692
-2.76935751727439,94.7924816562066,29.0860576411273,-11.108074854802,92.9383348112244,29.2890759412692
-2.76935751727439,94.7924816562066,29.0860576411273,-11.108074854802,92.9383348112244,29.2890759412692
-2.76935751727439,94.7924816562066,29.0860576411273,-11.108074854802,92.9383348112244,29.2890759412692
-2.76935751727439,94.7924816562066,29.0860576411273,-11.108074854802,92.9383348112244,29.2890759412692
-2.76935751727439,94.7924816562066,29.0860576411273,-11.108074854802,92.9383348112244,29.2890759412692
-2.76935751727439,94.7924816562066,29.0860576411273,-11.108074854802,92.9383348112244,29.2890759412692
-2.76935751727439,94.7924816562066,29.0860576411273,-11.108074854802,92.9383348112244,29.2890759412692
-2.76935751727439,94.7924816562066,29.0860576411273,-11.108074854802,92.9383348112244,29.2890759412692
-2.76935751727439,94.7924816562066,29.0860576411273,-11.108074854802,92.9383348112244,29.2890759412692
-2.76935751727439,94.7924816562066,29.0860576411273,-11.108074854802,92.9383348112244,29.2890759412692
-2.76935751727439,94.7924816562066,29.0860576411273,-11.108074854802,92.9383348112244,29.2890759412692
-2.76935751727439,94.7924816562066,29.0860576411273,-11.108074854802,92.9383348112244,29.2890759412692
-2.76935751727439,94.7924816562066,29.0860576411273,-11.108074854802,92.9383348112244,29.2890759412692
-2.76935751727439,94.7924816562066,29.0860576411273,-11.108074854802,92.9383348112244,29.2890759412692
-2.76935751727439,94.7924816562066,29.0860576411273,-11.1080748562435,92.9383348255716,29.2900759417936
-2.76935751727439,94.7924816562066,29.0860576411273,-11.1080748562435,92.9383348255716,29.2900759417936
-2.76935751727439,94.7924816562066,29.0860576411273,-11.108074854802,92.9383348112244,29.2890759412692
-2.76935751727439,94.7924816562066,29.0860576411273,-11.1080748562435,92.9383348255716,29.2900759417936
-2.76935751727439,94.7924816562066,29.0860576411273,-11.1080748562435,92.9383348255716,29.2900759417936
-2.76935751727439,94.7924816562066,29.0860576411273,-11.1080748562435,92.9383348255716,29.2900759417936
-2.76935751727439,94.7924816562066,29.0860576411273,-11.1080748562435,92.9383348255716,29.2900759417936
-2.76935751727439,94.7924816562066,29.0860576411273,-11.1080748562435,92.9383348255716,29.2900759417936
-2.76935751727439,94.7924816562066,29.0860576411273,-11.1080748562435,92.9383348255716,29.2900759417936
-2.76935751727439,94.7924816562066,29.0860576411273,-11.1080748562435,92.9383348255716,29.2900759417936
-2.76935751727439,94.7924816562066,29.0860576411273,-11.1080748562435,92.9383348255716,29.2900759417936
-2.76935751727439,94.7924816562066,29.0860576411273,-11.1080748562435,92.9383348255716,29.2900759417936
-2.76935751727439,94.7924816562066,29.0860576411273,-11.1080748562435,92.9383348255716,29.2900759417936
